angle:208.55   ,   distance:3306
angle:208.67   ,   distance:0
angle:208.83   ,   distance:3296
angle:208.95   ,   distance:0
angle:209.11   ,   distance:3298
angle:209.39   ,   distance:3292
angle:209.67   ,   distance:3285
angle:209.8   ,   distance:0
angle:209.95   ,   distance:3283
angle:210.08   ,   distance:0
angle:210.23   ,   distance:3278
angle:210.52   ,   distance:3279
angle:210.63   ,   distance:0
angle:210.8   ,   distance:3322
angle:211.06   ,   distance:3363
angle:211.19   ,   distance:0
angle:211.34   ,   distance:3393
angle:211.47   ,   distance:0
angle:211.63   ,   distance:3391
angle:211.91   ,   distance:3389
angle:212.19   ,   distance:3385
angle:212.47   ,   distance:3380
angle:212.75   ,   distance:3375
angle:213.03   ,   distance:3367
angle:213.31   ,   distance:3359
angle:213.59   ,   distance:3361
angle:213.88   ,   distance:3356
angle:214.17   ,   distance:3350
angle:214.45   ,   distance:3345
angle:214.73   ,   distance:3343
angle:215.02   ,   distance:3337
angle:215.3   ,   distance:3334
angle:215.58   ,   distance:3333
angle:215.86   ,   distance:3333
angle:216.14   ,   distance:3329
angle:216.42   ,   distance:3325
angle:216.7   ,   distance:3313
angle:216.98   ,   distance:3308
angle:217.27   ,   distance:3311
angle:217.55   ,   distance:3314
angle:217.83   ,   distance:3299
angle:218.11   ,   distance:3295
angle:218.34   ,   distance:3286
angle:218.61   ,   distance:3295
angle:218.89   ,   distance:3290
angle:219.17   ,   distance:3283
angle:219.45   ,   distance:3280
angle:219.73   ,   distance:3276
angle:220.02   ,   distance:3273
angle:220.3   ,   distance:3271
angle:220.58   ,   distance:3268
angle:220.86   ,   distance:3267
angle:221.14   ,   distance:3263
angle:221.42   ,   distance:3264
angle:221.7   ,   distance:3262
angle:221.98   ,   distance:3259
angle:222.27   ,   distance:3257
angle:222.55   ,   distance:3253
angle:222.83   ,   distance:3253
angle:223.11   ,   distance:3254
angle:223.39   ,   distance:3248
angle:223.67   ,   distance:3253
angle:223.95   ,   distance:3247
angle:224.23   ,   distance:3247
angle:224.52   ,   distance:3244
angle:224.8   ,   distance:3248
angle:225.08   ,   distance:3239
angle:225.36   ,   distance:3243
angle:225.64   ,   distance:3241
angle:225.92   ,   distance:3242
angle:226.2   ,   distance:3241
angle:226.48   ,   distance:3240
angle:226.77   ,   distance:3237
angle:227.05   ,   distance:3240
angle:227.33   ,   distance:3233
angle:227.61   ,   distance:3233
angle:227.89   ,   distance:3241
angle:228.17   ,   distance:3230
angle:228.45   ,   distance:3235
angle:228.73   ,   distance:3235
angle:229.02   ,   distance:3234
angle:229.3   ,   distance:3235
angle:229.53   ,   distance:3232
angle:229.81   ,   distance:3231
angle:230.09   ,   distance:3231
angle:230.38   ,   distance:3232
angle:230.66   ,   distance:3232
angle:230.94   ,   distance:3233
angle:231.22   ,   distance:3232
angle:231.5   ,   distance:3234
angle:231.78   ,   distance:3230
angle:232.06   ,   distance:3231
angle:232.34   ,   distance:3230
angle:232.63   ,   distance:3234
angle:232.91   ,   distance:3236
angle:233.19   ,   distance:3239
angle:233.47   ,   distance:3237
angle:233.75   ,   distance:3238
angle:234.03   ,   distance:3237
angle:234.31   ,   distance:3241
angle:234.59   ,   distance:3239
angle:234.88   ,   distance:3242
angle:235.16   ,   distance:3240
angle:235.44   ,   distance:3246
angle:235.72   ,   distance:3246
angle:236   ,   distance:3248
angle:236.28   ,   distance:3249
angle:236.56   ,   distance:3250
angle:236.84   ,   distance:3248
angle:237.13   ,   distance:3253
angle:237.41   ,   distance:3257
angle:237.69   ,   distance:3253
angle:237.97   ,   distance:3255
angle:238.25   ,   distance:3262
angle:238.53   ,   distance:3262
angle:238.81   ,   distance:3270
angle:239.09   ,   distance:3267
angle:239.38   ,   distance:3274
angle:239.66   ,   distance:3270
angle:239.94   ,   distance:3272
angle:240.22   ,   distance:3275
angle:240.5   ,   distance:3283
angle:240.81   ,   distance:3286
angle:241.08   ,   distance:3293
angle:241.36   ,   distance:3295
angle:241.64   ,   distance:3297
angle:241.92   ,   distance:3304
angle:242.2   ,   distance:3305
angle:242.48   ,   distance:3308
angle:242.77   ,   distance:3308
angle:243.03   ,   distance:3314
angle:243.31   ,   distance:3317
angle:243.59   ,   distance:3329
angle:244.16   ,   distance:3218
angle:244.44   ,   distance:3235
angle:244.72   ,   distance:3236
